,level,parent,name,q,eppo
0,7,8616,Arrabidaea,Q8204880,1ABDG
1,7,8619,Artocarpus,Q161085,1ABFG
2,8,61,Arundinaria,Q2700649,1ABHG
3,6,374,Abies,Q25350,1ABIG
4,8,8624,Aronia,Q158983,1ABOG
5,8,8627,Abutilon,Q132638,1ABUG
6,8,8629,Acacia,Q81666,1ACAG
7,8,8631,Acalypha,Q161225,1ACCG
8,8,8634,Acer,Q42292,1ACRG
9,7,8639,Adiantum,Q673823,1ADIG
10,8,8634,Aesculus,Q158752,1AECG
11,8,8641,Arenga,Q142023,1AGBG
12,8,45,Aglaonema,Q740819,1AGLG
13,8,8646,Agapanthus,Q159541,1AGPG
14,8,8647,Agrostis,Q161137,1AGSG
15,8,8648,Arachnis,Q133781,1AHIG
16,8,8651,Alpinia,Q150572,1AIIG
17,6,8653,Aizoaceae,Q156219,1AIZF
18,8,8655,Agastache,Q2020837,1AJTG
19,8,8629,Albizia,Q664945,1ALBG
20,8,45,Alocasia,Q644312,1ALDG
21,8,8656,Aleurites,Q141267,1ALEG
22,8,8627,Althaea,Q157706,1ALGG
23,8,8657,Allium,Q49391,1ALLG
24,8,8658,Alternanthera,Q2840398,1ALRG
25,7,8660,Alstroemeria,Q917833,1ALTG
26,7,8662,Alnus,Q25239,1ALUG
27,8,8665,Allamanda,Q1262196,1ALWG
28,6,8653,Amaranthaceae,Q155931,1AMAF
29,8,8658,Amaranthus,Q156344,1AMAG
30,8,8668,Ambrosia,Q844270,1AMBG
31,8,8671,Ampelopsis,Q158192,1AMCG
32,8,8624,Amelanchier,Q156957,1AMEG
33,8,8672,Amorpha,Q1318931,1AMHG
34,8,8674,Anacardium,Q161175,1ANAG
35,7,74,Ananas,Q147316,1ANHG
36,8,8678,Anemone,Q158286,1ANMG
37,8,8679,Andropogon,Q310768,1ANOG
38,8,8668,Anthemis,Q847930,1ANTG
39,8,8683,Annona,Q275737,1ANUG
40,7,8664,Apocynoideae,Q143102,1APCS
41,8,8684,Aquilegia,Q147641,1AQIG
42,7,8686,Aralia,Q132636,1ARLG
43,6,8643,Araceae,Q48227,1ARMF
44,8,8687,Areca,Q157289,1ARMG
45,7,43,Aroideae,Q133666,1ARMS
46,8,8668,Artemisia,Q156421,1ARTG
47,7,195,Arctostaphylos,Q280566,1ARYG
48,8,8672,Astragalus,Q157184,1ASAG
49,7,8691,Asplenium,Q5347305,1ASLG
50,8,8693,Asparagus,Q2853420,1ASPG
51,8,8668,Aster,Q517130,1ASTG
52,7,379,Antirrhinum,Q157646,1ATHG
53,7,8694,Actinidia,Q164898,1ATIG
54,8,105,Atriplex,Q157801,1ATXG
55,8,8695,Anthurium,Q239835,1AURG
56,8,8697,Avicennia,Q132645,1AVIG
57,8,8671,Ampelocissus,Q4033940,1AWSG
58,8,8698,Atalantia,Q5555801,1AYAG
59,8,8668,Baccharis,Q133834,1BACG
60,8,61,Bambusa,Q311331,1BAMG
61,7,224,Bambusoideae,Q670887,1BAMS
62,7,379,Bacopa,Q1409203,1BAOG
63,8,8699,Bauhinia,Q287313,1BAUG
64,8,8687,Bactris,Q135451,1BCTG
65,7,8700,Berberis,Q158503,1BEBG
66,7,8702,Begonia,Q158617,1BEGG
67,7,8662,Betula,Q25243,1BETG
68,8,8703,Beaucarnea,Q134956,1BEUG
69,7,459,Brugmansia,Q757262,1BGMG
70,8,8668,Bidens,Q157173,1BIDG
71,8,8705,Blechum,Q2714426,1BLCG
72,7,332,Bougainvillea,Q156996,1BOUG
73,7,459,Brunfelsia,Q133852,1BRFG
74,6,8621,Bromeliaceae,Q156529,1BROF
75,8,8647,Bromus,Q147621,1BROG
76,7,138,Brassica,Q58677,1BRSG
77,7,8619,Brosimum,Q2290771,1BSMG
78,8,8648,Brassia,Q133793,1BSSG
79,7,444,Buddleia,,1BUDG
80,7,8707,Bursera,Q2367288,1BUEG
81,7,8709,Buxus,Q158703,1BUXG
82,6,8653,Cactaceae,Q14560,1CACF
83,7,8710,Camellia,Q212815,1CAHG
84,8,8672,Cajanus,Q3239959,1CAJG
85,6,8661,Casuarinaceae,Q474620,1CASF
86,8,8629,Cassia,Q162882,1CASG
87,8,8641,Caryota,Q513475,1CAWG
88,7,296,Calathea,Q1650700,1CBAG
89,8,8711,Carpobrotus,Q134968,1CBSG
90,6,154,Calocedrus,Q765246,1CCDG
91,8,8687,Cocos,Q13099531,1CCNG
92,7,8714,Cercidiphyllum,Q858028,1CCPG
93,8,8699,Cercis,Q29033,1CCSG
94,6,8718,Cycas,Q161073,1CCYG
95,8,8656,Codiaeum,Q135027,1CDIG
96,8,8719,Cordyline,Q1543189,1CDLG
97,7,8720,Cedrela,Q162792,1CEDG
98,7,8722,Celastrus,Q811662,1CELG
99,8,8658,Celosia,Q159223,1CEOG
100,7,8723,Celtis,Q248582,1CETG
101,6,374,Cedrus,Q128550,1CEUG
102,6,154,Chamaecyparis,Q147791,1CHCG
103,7,195,Chamaedaphne,,1CHDG
104,8,105,Chenopodium,Q158094,1CHEG
105,7,28,Chenopodioideae,Q1070132,1CHES
106,8,8668,Chrysanthemum,Q59882,1CHYG
107,8,8671,Cissus,Q2046407,1CIBG
108,8,8698,Citrus,Q81513,1CIDG
109,7,8662,Carpinus,Q158513,1CIPG
110,8,8668,Cirsium,Q1638558,1CIRG
111,8,8698,Citroncirus,,1CJCG
112,8,8668,Calendula,Q147281,1CLDG
113,8,45,Caladium,Q1521382,1CLFG
114,8,8672,Calopogonium,Q5023261,1CLOG
115,8,8724,Calamus,Q165260,1CLUG
116,8,8678,Clematis,Q157634,1CLVG
117,8,8727,Callistemon,Q496460,1CLXG
118,8,8687,Chamaedorea,Q820113,1CMDG
119,8,8729,Columnea,Q2573370,1CMNG
120,8,8731,Campanula,Q157069,1CMPG
121,8,8668,Cosmos,Q476937,1CMSG
122,6,154,Cryptomeria,Q5190987,1CMYG
123,7,8707,Canarium,Q2367663,1CNBG
124,8,8624,Chaenomeles,Q157616,1CNMG
125,8,8732,Choisya,Q1468246,1COAG
126,8,8734,Coccoloba,Q135463,1CODG
127,8,8627,Callirhoe,Q3626558,1COEG
128,7,425,Coffea,Q156354,1COFG
129,7,8735,Combretum,Q1777188,1COGG
130,6,8667,Asteraceae,Q25400,1COMF
131,8,8738,Commelina,Q161075,1COMG
132,7,133,Convolvulus,Q147507,1CONG
133,6,8704,Convolvulaceae,Q145777,1COVF
134,7,459,Capsicum,Q201959,1CPSG
135,8,8641,Corypha,Q1072825,1CPYG
136,8,8672,Caragana,Q849443,1CRAG
137,8,8739,Corchorus,Q161489,1CRGG
138,6,8706,Brassicaceae,Q156888,1CRUF
139,7,8741,Cornus,Q159545,1CRWG
140,8,8742,Carex,Q158501,1CRXG
141,7,8743,Crassula,Q158253,1CSBG
142,8,8624,Crataegus,Q132557,1CSCG
143,7,8744,Castilleja,Q311122,1CSLG
144,7,8745,Castanea,Q129324,1CSNG
145,7,8745,Castanopsis,Q1048531,1CSOG
146,7,8746,Cistus,Q206127,1CSTG
147,7,85,Casuarina,Q756005,1CSUG
148,8,8648,Cattleya,Q133733,1CTBG
149,7,8616,Catalpa,Q158072,1CTLG
150,8,8624,Cotoneaster,Q5538,1CTTG
151,8,8665,Catharanthus,Q1050790,1CTUG
152,6,8701,Cucurbitaceae,Q8314,1CUCF
153,7,152,Cucumis,Q148758,1CUMG
154,5,8712,Cupressaceae,Q146037,1CUPF
155,8,8698,Clausena,Q2993704,1CUSG
156,7,152,Cucurbita,Q5339301,1CUUG
157,6,154,x Cuprocyparis,,1CUYG
158,6,154,Cupressus,Q146911,1CVBG
159,8,8748,Crocus,Q157806,1CVOG
160,7,74,Cryptanthus,Q138350,1CWPG
161,7,8749,Casearia,Q537066,1CWSG
162,8,45,Colocasia,Q310882,1CXSG
163,7,8750,Carya,Q142788,1CYAG
164,7,8751,Corylus,Q145889,1CYLG
165,8,8679,Cynodon,Q959222,1CYNG
166,6,8621,Cyperaceae,Q155843,1CYPF
167,8,8742,Cyperus,Q161224,1CYPG
168,8,8668,Cynara,Q19070,1CYUG
169,8,8753,Cyclamen,Q147295,1CYZG
170,8,8672,Dalbergia,Q1370281,1DAGG
171,8,8668,Dahlia,Q130918,1DAHG
172,7,459,Datura,Q192497,1DATG
173,8,8678,Delphinium,Q160107,1DELG
174,8,8648,Dendrobium,Q133778,1DENG
175,7,8754,Deutzia,Q157860,1DEZG
176,8,45,Dieffenbachia,Q738915,1DIFG
177,7,379,Digitalis,Q156533,1DIKG
178,7,8755,Dianthus,Q156099,1DING
179,7,8757,Dioscorea,Q71549,1DIUG
180,6,8758,Dioon,Q135605,1DOOG
181,7,8759,Diospyros,Q165258,1DOSG
182,8,8703,Dracaena,Q158009,1DRNG
183,7,8760,Drypetes,Q2841094,1DRPG
184,8,8687,Dypsis,Q2658058,1DYQG
185,8,8687,Dictyosperma,Q16060603,1DYTG
186,8,8732,Diosma,Q8560125,1DZAG
187,8,8705,Eranthemum,Q2703906,1EAUG
188,6,8758,Encephalartos,Q947957,1ECFG
189,8,8624,Eriobotrya,Q1550170,1EIOG
190,7,8761,Elaeagnus,Q161042,1ELGG
191,7,8686,Eleutherococcus,Q133016,1ELKG
192,7,8720,Entandrophragma,Q133937,1ENDG
193,7,318,Ensete,Q312321,1ENSG
194,8,8762,Euphorbia,Q146567,1EPHG
195,6,8689,Ericaceae,Q975872,1ERIF
196,7,138,Erysimum,Q165206,1ERYG
197,8,8672,Erythrina,Q1340386,1ERZG
198,8,8727,Eucalyptus,Q45669,1EUCG
199,8,8727,Eugenia,Q975998,1EUEG
200,7,8722,Euonymus,Q161113,1EUOG
201,6,8630,Euphorbiaceae,Q156584,1EUPF
202,8,8763,Fagopyrum,Q7223832,1FAGG
203,7,8745,Fagus,Q25403,1FAUG
204,8,8647,Festuca,Q157337,1FESG
205,7,8619,Ficus,Q1938846,1FIUG
206,8,40,Fernaldia,Q5444497,1FNAG
207,8,8698,Fortunella,,1FOLG
208,8,8624,Fragaria,Q745,1FRAG
209,7,8764,Fraxinus,Q128887,1FRXG
210,7,8765,Fuchsia,Q161066,1FUCG
211,7,425,Gardenia,Q740887,1GADG
212,8,267,Galeopsis,Q161675,1GAEG
213,8,8668,Gaillardia,Q732510,1GAIG
214,7,8766,Garcinia,Q311454,1GANG
215,7,195,Gaylussacia,Q2704451,1GAYG
216,8,8767,Gerbera,Q310654,1GEBG
217,8,8672,Genista,Q156696,1GENG
218,7,8769,Geranium,Q157211,1GERG
219,8,8748,Gladiolus,Q156207,1GLAG
220,8,8629,Gleditsia,Q161250,1GLIG
221,8,8672,Glycine,Q311395,1GLXG
222,8,8627,Gossypium,Q719312,1GOSG
223,8,8729,Gloxinia,Q5239844,1GOXG
224,6,8621,Poaceae,Q43238,1GRAF
225,8,8772,Grevillea,Q1545761,1GREG
226,8,8668,Grindelia,Q2702875,1GRNG
227,8,8687,Gaussia,Q142507,1GSIG
228,7,8773,Hamamelis,Q148463,1HAMG
229,7,8774,Heliconia,Q624242,1HEBG
230,7,8686,Hedera,,1HEEG
231,8,8776,Hemerocallis,Q156275,1HEGG
232,8,8668,Helianthus,Q26949,1HELG
233,8,8777,Hedychium,Q137050,1HEYG
234,8,8687,Hyophorbe,Q135067,1HFBG
235,8,8627,Hibiscus,Q157124,1HIBG
236,7,8761,Hippophae,Q5686857,1HIOG
237,8,8687,Howea,Q1739062,1HOWG
238,8,8778,Hippeastrum,Q757257,1HPSG
239,8,8779,Hosta,Q623347,1HSTG
240,8,8656,Hevea,Q2350189,1HVEG
241,8,8780,Hyacinthus,Q158758,1HYAG
242,7,8754,Hydrangea,Q155997,1HYEG
243,7,8781,Hypericum,Q156935,1HYPG
244,8,8687,Hydriastele,Q2711792,1HZDG
245,7,8764,Jasminum,Q82014,1IASG
246,8,8656,Jatropha,Q152986,1IATG
247,7,8783,Ilex,Q117085,1ILEG
248,7,8784,Impatiens,Q141672,1IPAG
249,7,133,Ipomoea,Q161173,1IPOG
250,7,8785,Ipomopsis,Q3004001,1IPPG
251,8,8786,Iris,Q156901,1IRIG
252,7,8750,Juglans,Q2453469,1IUGG
253,7,8787,Juncus,Q158480,1IUNG
254,6,154,Juniperus,Q25662,1IUPG
255,8,8668,Iva,Q4338415,1IVAG
256,7,425,Ixora,Q2717258,1IXRG
257,7,195,Kalmia,Q1427635,1KAMG
258,7,8743,Kalanchoe,Q312063,1KANG
259,8,105,Kochia,Q1046600,1KCHG
260,6,374,Keteleeria,Q132109,1KETG
261,8,8629,Chamaecrista,Q2948035,1KHQG
262,8,45,Cryptocoryne,Q1423091,1KNYG
263,8,8788,Koelreuteria,Q132703,1KOTG
264,8,8778,Crinum,Q683353,1KRMG
265,8,8789,Cyathocalyx,Q5197637,1KXYG
266,7,8790,Lagerstroemia,Q775229,1LAEG
267,7,8654,Lamioideae,Q148845,1LAMS
268,7,508,Lantana,Q1096635,1LANG
269,6,374,Larix,Q25618,1LAXG
270,6,8628,Fabaceae,Q2615411,1LEGF
271,7,8792,Lindera,Q311790,1LIEG
272,7,8764,Ligustrum,Q753099,1LIGG
273,8,8788,Litchi,Q655597,1LIHG
274,7,8793,Lilium,Q5194627,1LILG
275,6,8630,Linaceae,Q155951,1LINF
276,7,8794,Liquidambar,Q183543,1LIQG
277,7,275,Linum,Q161100,1LIUG
278,8,8641,Livistona,Q132836,1LIVG
279,8,8795,Lobelia,Q158182,1LOBG
280,8,8647,Lolium,Q158509,1LOLG
281,8,8798,Lonicera,Q156047,1LONG
282,8,8672,Lathyrus,Q157209,1LTHG
283,8,8739,Luehea,Q145982,1LUHG
284,8,8672,Lupinus,Q156811,1LUPG
285,7,8792,Laurus,Q21188,1LURG
286,8,8727,Lenwebbia,Q3072816,1LWBG
287,8,8655,Lycopus,Q158341,1LYAG
288,7,195,Lyonia,Q2664959,1LYDG
289,8,8629,Lysiloma,Q6710182,1LYLG
290,7,459,Lycium,Q3268411,1LYUG
291,8,8624,Malus,Q104819,1MABG
292,7,8799,Magnolia,Q157017,1MAGG
293,7,82,Mammillaria,Q311120,1MAKG
294,8,8627,Malva,Q147325,1MALG
295,8,8656,Manihot,Q149056,1MANG
296,6,8649,Marantaceae,Q503296,1MARF
297,7,296,Maranta,Q1342315,1MARG
298,6,8626,Malvaceae,Q156551,1MAVF
299,8,8772,Macadamia,Q310041,1MCDG
300,7,8792,Machilus,Q6723589,1MCHG
301,8,8672,Maackia,Q141245,1MCKG
302,8,40,Mandevilla,Q1889042,1MDVG
303,7,8720,Melia,Q2703639,1MEIG
304,8,8655,Mentha,Q47859,1MENG
305,7,8700,x Mahoberberis,,1MHBG
306,8,8629,Mimosa,Q160110,1MIMG
307,7,8800,Mimulus,Q159372,1MIUG
308,6,8758,Microcycas,Q1057029,1MKCG
309,8,8631,Mallotus,Q1205104,1MLLG
310,8,8802,Malpighia,Q768283,1MLPG
311,8,8674,Mangifera,Q161807,1MNGG
312,8,8655,Monarda,Q157665,1MOAG
313,7,8619,Morus,Q44789,1MORG
314,7,422,Mespilus,Q148723,1MSPG
315,8,8727,Metrosideros,Q1313015,1MTDG
316,7,318,Musa,Q8666090,1MUBG
317,8,8672,Mucuna,Q2574724,1MUCG
318,6,8649,Musaceae,Q156525,1MUSF
319,8,8698,Murraya,Q1641850,1MUYG
320,7,8803,Myricaria,Q159213,1MYAG
321,7,8804,Myristica,Q1878350,1MYIG
322,7,444,Myoporum,Q115631,1MYMG
323,7,8805,Myrica,Q133287,1MYRG
324,8,8727,Myrtus,,1MYVG
325,8,8778,Narcissus,Q29465,1NARG
326,8,8655,Nepeta,Q303820,1NEPG
327,8,40,Nerium,Q3874774,1NERG
328,7,459,Nicotiana,Q851829,1NIOG
329,7,8792,Neolitsea,Q855547,1NLTG
330,8,8729,Nematanthus,Q2616377,1NMTG
331,8,8629,Neptunia,Q3235507,1NPTG
332,6,8653,Nyctaginaceae,Q156227,1NYCF
333,7,8808,Nymphaea,Q146628,1NYMG
334,7,8741,Nyssa,Q964952,1NYSG
335,8,8648,Oncidium,Q133754,1OCDG
336,8,8655,Ocimum,Q148818,1OCIG
337,7,8765,Oenothera,Q157658,1OEOG
338,7,8764,Olea,Q296910,1OLVG
339,8,8687,Oncosperma,Q138785,1ONPG
340,7,82,Opuntia,Q158991,1OPUG
341,6,8644,Orchidaceae,Q25308,1ORCF
342,8,8809,Oryza,Q690633,1ORYG
343,8,8668,Osteospermum,Q942384,1OSPG
344,7,8662,Ostrya,Q605290,1OSTG
345,7,8764,Osmanthus,Q618810,1OSUG
346,7,8811,Oxalis,Q157378,1OXAG
347,7,8813,Pandanus,Q471914,1PADG
348,7,425,Paederia,Q163983,1PAEG
349,6,8640,Arecaceae,Q14080,1PALF
350,8,8679,Panicum,Q934037,1PANG
351,7,8814,Paeonia,Q147105,1PAOG
352,7,8815,Passiflora,Q161185,1PAQG
353,7,501,Petroselinum,Q310933,1PARG
354,8,8679,Paspalum,Q2333069,1PASG
355,7,8816,Paulownia,Q165173,1PAZG
356,8,8817,Patrinia,Q3232916,1PBIG
357,8,8818,Pachira,Q2632055,1PCJG
358,7,8744,Pedicularis,Q129016,1PEAG
359,7,8792,Persea,Q132039,1PEBG
360,7,8769,Pelargonium,Q146118,1PELG
361,7,8820,Peperomia,Q1354632,1PEOG
362,7,459,Petunia,Q161103,1PEUG
363,7,8822,Phacelia,Q133285,1PHCG
364,7,8754,Philadelphus,Q107394,1PHIG
365,8,8624,Photinia,Q1070845,1PHNG
366,8,8679,Phragmites,Q1976487,1PHRG
367,8,8672,Phaseolus,Q310438,1PHSG
368,8,8641,Phoenix,Q27685,1PHXG
369,7,459,Physalis,Q158663,1PHYG
370,6,374,Picea,Q26782,1PIEG
371,7,8828,Pieris,Q132967,1PIERG
372,7,8829,Pilea,Q7222652,1PILG
373,7,501,Pimpinella,Q588740,1PIMG
374,5,8623,Pinaceae,Q101680,1PINF
375,2,8611,Pinophyta,Q132825,1PINP
376,8,45,Philodendron,Q131880,1PIOG
377,7,8820,Piper,Q159536,1PIPG
378,6,374,Pinus,Q12024,1PIUG
379,6,8615,Plantaginaceae,Q1748235,1PLAF
380,7,379,Plantago,Q164686,1PLAG
381,8,61,Pleioblastus,Q1873336,1PLEG
382,8,8655,Plectranthus,Q1862564,1PLFG
383,8,8665,Plumeria,Q218123,1PLIG
384,8,61,Phyllostachys,Q132640,1PLLG
385,7,8830,Platanus,Q163025,1PLTG
386,8,8647,Poa,Q157656,1POAG
387,6,8628,Polygalaceae,Q156360,1POGF
388,7,8832,Polystichum,Q608099,1POIG
389,8,8763,Polygonum,Q271400,1POLG
390,7,8749,Populus,Q25356,1POPG
391,6,8653,Portulacaceae,Q521874,1PORF
392,7,391,Portulaca,Q159554,1PORG
393,7,8785,Phlox,Q652016,1POXG
394,8,8648,Phalaenopsis,Q133897,1PQAG
395,8,8834,Palaquium,Q160364,1PQIG
396,8,8629,Prosopis,Q133422,1PRCG
397,7,8707,Protium,Q2261600,1PRDG
398,8,8835,Primula,Q158974,1PRIG
399,8,8624,Prunus,Q190545,1PRNG
400,7,8836,Proboscidea,Q137309,1PROG
401,8,8671,Parthenocissus,Q157587,1PRTG
402,7,8841,Prunella,Q148652,1PRUNG
403,8,8727,Psidium,Q320179,1PSIG
404,6,374,Pseudolarix,Q2664288,1PSLG
405,6,374,Pseudotsuga,Q158771,1PSTG
406,7,8750,Pterocarya,Q1420126,1PTFG
407,8,8842,Potentilla,Q156512,1PTLG
408,8,8668,Parthenium,Q3236767,1PTNG
409,8,8641,Pritchardia,Q119442856,1PWDG
410,7,508,Petrea,Q583410,1PWTG
411,8,8624,Pyracantha,Q157748,1PYEG
412,8,8844,Phyllanthus,Q310927,1PYLG
413,8,8624,Pyrus,Q434,1PYUG
414,7,8745,Quercus,Q12004,1QUEG
415,6,8618,Rhamnaceae,Q156083,1RHAF
416,7,415,Rhamnus,Q79190,1RHAG
417,7,195,Rhododendron,Q189393,1RHOG
418,8,8674,Rhus,Q157649,1RHUG
419,7,8845,Ribes,Q22691,1RIBG
420,8,8631,Ricinus,Q22669020,1RIIG
421,8,8672,Robinia,Q472943,1ROBG
422,6,8618,Rosaceae,Q46299,1ROSF
423,8,8842,Rosa,Q34687,1ROSG
424,8,8641,Rhapis,Q134463,1RPJG
425,6,8663,Rubiaceae,Q156569,1RUBF
426,8,8842,Rubus,Q602740,1RUBG
427,8,8763,Rumex,Q157264,1RUMG
428,7,379,Russelia,Q2511350,1RUSG
429,6,8632,Rutaceae,Q146030,1RUTF
430,8,8641,Sabal,Q132826,1SABG
431,8,8679,Saccharum,Q17136949,1SACG
432,8,61,Sasa,Q2322484,1SAFG
433,7,8846,Sagittaria,Q157652,1SAGG
434,8,8703,Sansevieria,Q312160,1SAHG
435,7,8847,Sambucus,Q131448,1SAMG
436,8,8762,Sapium,Q649393,1SAQG
437,7,8709,Sarcococca,Q3009215,1SARG
438,7,8749,Salix,Q36050,1SAXG
439,8,61,Sinobambusa,Q2174982,1SBBG
440,7,82,Schlumbergera,Q240857,1SBGG
441,7,501,Scandix,Q1439641,1SCAG
442,8,8848,Scabiosa,Q147772,1SCBG
443,8,8674,Schinus,Q786249,1SCIG
444,6,8615,Scrophulariaceae,Q53473,1SCPF
445,8,8834,Sideroxylon,Q1067086,1SDIG
446,8,8672,Sesbania,Q311305,1SEBG
447,7,8743,Sedum,Q156851,1SEDG
448,8,8668,Senecio,Q209596,1SENG
449,8,8679,Setaria,Q157389,1SETG
450,6,8758,Stangeria,Q1767940,1SGEG
451,7,415,Sageretia,Q137531,1SGRG
452,8,8627,Sida,Q311463,1SIDG
453,7,152,Sicyos,Q628933,1SIYG
454,8,8629,Senna,Q311117,1SJNG
455,8,8849,Scindapsus,Q2624761,1SNDG
456,8,8729,Sinningia,Q159407,1SNNG
457,7,82,Selenicereus,Q132870,1SNRG
458,8,8672,Sophora,Q309213,1SOBG
459,6,8704,Solanaceae,Q134172,1SOLF
460,7,459,Solanum,Q146555,1SOLG
461,8,8679,Sorghum,Q12111,1SORG
462,8,8624,Sorbus,Q157964,1SOUG
463,7,8755,Spergularia,Q163048,1SPBG
464,8,8627,Sphaeralcea,Q936759,1SPHG
465,8,8624,Spiraea,Q148745,1SPVG
466,8,8850,Streptocarpus,Q159180,1SRQG
467,7,425,Serissa,Q9076322,1SSIG
468,7,422,Stranvaesia,Q3489865,1STVG
469,7,8851,Styrax,Q525062,1STXG
470,8,8672,Stylosanthes,Q2701631,1STYG
471,7,8852,Strelitzia,Q147888,1STZG
472,8,45,Syngonium,Q2448411,1SYNG
473,7,8764,Syringa,Q157449,1SYRG
474,8,8727,Syzygium,Q133290,1SYZG
475,7,8803,Tamarix,Q164163,1TAAG
476,7,8616,Tabebuia,Q312284,1TABG
477,8,8668,Tagetes,Q147552,1TAGG
478,8,8668,Taraxacum,Q30024,1TARG
479,6,8853,Taxus,Q27355,1TAXG
480,8,40,Trachelospermum,Q1549062,1TCHG
481,8,8732,Toddalia,Q15930630,1TDDG
482,7,8735,Terminalia,Q1469349,1TEMG
483,8,8672,Tephrosia,Q3236409,1TEPG
484,8,8854,Theobroma,Q162078,1THOG
485,6,154,Thuja,Q147255,1THUG
486,7,8855,Tibouchina,Q1035441,1TIBG
487,8,8727,Tristaniopsis,Q1883416,1TIIG
488,8,489,Tilia,Q127849,1TILG
489,7,298,Tilioideae,Q159224,1TILS
490,8,8668,Thelesperma,Q2641612,1TLSG
491,7,8720,Toona,Q2697430,1TOOG
492,6,8853,Torreya,Q429944,1TOYG
493,8,8672,Trifolium,Q101538,1TRFG
494,8,8647,Triticum,Q12106,1TRZG
495,6,374,Tsuga,Q739430,1TSUG
496,8,8647,x Triticosecale,,1TTLG
497,8,8748,Tritonia,Q1117674,1TTRG
498,8,8657,Tulbaghia,Q2339987,1TUHG
499,8,8779,Yucca,Q156317,1UCCG
500,7,8856,Ulmus,Q131113,1ULMG
501,6,8685,Apiaceae,Q145794,1UMBF
502,7,8829,Urtica,Q121671,1URTG
503,7,195,Vaccinium,Q5079636,1VACG
504,8,8648,Vanda,Q286061,1VADG
505,7,508,Verbena,Q165290,1VEBG
506,8,8668,Verbesina,Q5189541,1VEEG
507,8,8732,Vepris,Q1312894,1VEPG
508,6,8615,Verbenaceae,Q156960,1VERF
509,7,379,Veronica,Q7216874,1VERG
510,7,8847,Viburnum,Q158492,1VIBG
511,8,8672,Vicia,Q147337,1VICG
512,8,8672,Vigna,Q132634,1VIGG
513,8,8665,Vinca,Q220925,1VING
514,7,8857,Viola,Q146095,1VIOG
515,6,8670,Vitaceae,Q26220,1VITF
516,8,8671,Vitis,Q191019,1VITG
517,8,8656,Vernicia,Q2699247,1VNIG
518,8,8748,Watsonia,Q139122,1WASG
519,8,8641,Washingtonia,Q158793,1WATG
520,6,154,Widdringtonia,Q117681,1WIDG
521,8,8672,Wisteria,Q261903,1WSTG
522,8,8668,Xanthium,Q598601,1XANG
523,8,8683,Xylopia,Q2234889,1XYPG
524,8,8732,Zanthoxylum,Q147050,1ZANG
525,8,8684,Semiaquilegia,Q3545082,1ZAQG
526,7,8856,Zelkova,Q187454,1ZELG
527,8,8668,Zinnia,Q205106,1ZIIG
528,7,415,Ziziphus,Q310492,1ZIPG
529,8,8809,Zizania,Q831681,1ZIZG
530,8,45,Zantedeschia,Q147043,1ZNTG
531,8,8679,Zoysia,Q1205244,1ZOYG
532,8,8674,Searsia,Q2576670,1ZSAG
533,2,8858,conifers,,2CONI
534,2,8858,deciduous trees,,2DTRE
535,2,8858,fruit plants,,2FRUP
536,2,8858,fruit trees,,2FRUT
537,2,8858,herbaceous plants,,2HERP
538,2,8858,herbaceous ornamental plants,,2ORNH
539,2,8858,plants,Q756,2PLAN
540,2,8858,stored products,,2STOP
541,2,8858,vegetable plants,,2VEGP
542,2,8858,weed plants,,2WEED
543,2,8858,wood,,2WOOD
544,2,8858,woody plants,,2WOOP
545,9,8859,Adansonia digitata,Q158742,AADDI
546,9,8860,Aconitum carmichaelii,Q2561734,AAOCA
547,9,8860,Aconitum sp.,,AAOSS
548,9,8861,Acrocomia aculeata,Q1882542,AARSC
549,9,8861,Acrocomia sp.,,AARSS
550,9,8862,Actaea racemosa,Q682257,AATRA
551,8,8863,Arracacia xanthorrhiza,Q625399,ABAXA
552,9,8864,Amberboa moschata,Q1264042,ABBMO
553,9,8866,Abelia chinensis,Q160081,ABECH
554,9,8866,Abelia x grandiflora,,ABEGF
555,9,8867,Diabelia spathulata,Q24852819,ABESP
556,8,1,Artocarpus altilis,Q14677,ABFAL
557,8,1,Artocarpus chama,Q6682973,ABFCH
558,8,1,Artocarpus elasticus,Q3769382,ABFEL
559,8,1,Artocarpus gomezianus,Q15246594,ABFGO
560,8,1,Artocarpus heterophyllus,Q45757,ABFHE
561,8,1,Artocarpus integer,Q1053368,ABFIN
562,8,1,Artocarpus lacucha,Q759430,ABFLA
563,8,1,Artocarpus lanceifolius,Q15471588,ABFLC
564,8,1,Artocarpus nitidus,Q15470728,ABFNI
565,8,1,Artocarpus nobilis,Q4801380,ABFNO
566,8,1,Artocarpus odoratissimus,Q1915950,ABFOD
567,8,1,Artocarpus rigidus,Q15473958,ABFRI
568,8,1,Artocarpus sericicarpus,Q15475766,ABFSE
569,8,1,Artocarpus sp.,,ABFSS
570,9,8868,Arum maculatum,Q836366,ABGMA
571,9,8868,Arum orientale,Q4069834,ABGOR
572,9,8868,Arum palaestinum,Q2866021,ABGPL
573,9,2,Arundinaria gigantea,Q2866037,ABHGI
574,9,2,Arundinaria sp.,,ABHSS
575,7,3,Abies alba,Q146992,ABIAL
576,7,3,Abies amabilis,Q936498,ABIAM
577,7,3,Abies balsamea,Q428023,ABIBA
578,7,3,Abies borisii-regis,Q149327,ABIBO
579,7,3,Abies nordmanniana subsp. equitrojani,,ABIBR
