,level,parent,name,q,eppo
9810,8,9809,Hydrastis,Q9005595,1HDRG
9811,7,8616,Handroanthus,Q5647550,1HDSG
9812,7,8746,Helianthemum,Q162895,1HEAG
9813,8,8668,Xerochrysum,Q2715041,1XCHG
9814,8,8668,Helichrysum,Q28195,1HECG
9815,8,8668,Heliopsis,Q2065883,1HEFG
9816,7,8855,Clidemia,Q5132468,1CXAG
9817,8,8679,Hemarthria,Q2353350,1HEMG
9818,8,8668,Helenium,Q1632842,1HENG
9819,7,8822,Heliotropium,Q158082,1HEOG
9820,7,8856,Hemiptelea,Q3488620,1HEPG
9821,7,501,Heracleum,Q327106,1HERG
9822,7,9591,Heteranthera,Q3269765,1HETG
9823,7,138,Hesperis,Q3303714,1HEVG
9824,7,133,Hewittia,,1HEWG
9825,6,8736,Hanguanaceae,,1HANF
9826,7,9825,Hanguana,Q131551,1HGUG
9827,8,8727,Homoranthus,Q3332371,1HHSG
9828,7,8726,Psiloxyloideae,Q543758,1PSYS
9829,8,9828,Heteropyxis,Q1341359,1HHXG
9830,8,8668,Pilosella,Q9059678,1QJLG
9831,8,8668,Hieracium,Q16526,1HIEG
9832,8,8674,Holigarna,Q9004466,1HIGG
9833,7,138,Hirschfeldia,Q163505,1HISG
9834,8,8739,Heliocarpus,Q5705457,1HJCG
9835,7,9199,Hirtella,,1HJRG
9836,8,8772,Hakea,Q141826,1HKAG
9837,8,8727,Hypocalymma,Q5229180,1HKLG
9838,8,8679,Hakonechloa,Q2861460,1HKNG
9839,8,8665,Hancornia,Q15429892,1HKRG
9840,8,8763,Muehlenbeckia,Q1255444,1MUEG
9841,7,8619,Helicostylis,Q304320,1HLKG
9842,8,8678,Helleborus,Q147289,1HLLG
9843,8,8668,Rhodanthe,Q2704490,1RDTG
9844,6,8615,Stilbaceae,Q132658,1STIF
9845,7,9844,Halleria,Q309848,1HLRG
9846,8,8705,Hemigraphis,Q2705948,1HMGG
9847,8,8778,Hymenocallis,Q1368946,1HMJG
9848,8,8778,Ismene,,1IZMG
9849,8,8668,Helminthotheca,Q5709471,1HMKG
9850,8,8762,Homalanthus,Q5219713,1HMLG
9851,6,8638,Cheilanthoideae,Q8345140,1CHTS
9852,7,9851,Hemionitis,Q5405952,1HMOG
9853,7,9109,Hymenosporum,Q16389872,1HMSG
9854,7,8720,Heynea,Q16746702,1HNXG
9855,8,8672,Holocalyx,,1HOCG
9856,8,8627,Hoheria,Q311753,1HOHG
9857,8,8647,Holcus,Q158851,1HOLG
9858,8,8647,Hordeum,Q518044,1HORG
9859,7,8804,Horsfieldia,Q732379,1HOSG
9860,7,425,Houstonia,,1HOUG
9861,7,415,Hovenia,Q134791,1HOVG
9862,8,8943,Hoya,Q157749,1HOYG
9863,8,9514,Hopea,Q2673227,1HOZG
9864,8,8798,Heptacodium,Q2700641,1HPDG
9865,8,9532,Harpullia,Q2691018,1HPWG
9866,7,8673,Spondiadoideae,Q20817995,1SPNS
9867,8,9866,Haematostaphis,Q10293515,1HPXG
9868,8,267,Mesosphaerum,Q21447537,1MMYG
9869,8,8854,Herrania,Q5233116,1HRAG
9870,8,9866,Harpephyllum,Q9002134,1HRLG
9871,6,8791,Hernandiaceae,Q131310,1HERF
9872,7,9871,Hernandia,Q2701380,1HRNG
9873,7,8937,Harrisonia,Q2886902,1HRSG
9874,8,8668,Hypochaeris,Q28202,1HRYG
9875,8,8672,Hylodesmum,Q17425866,1HSMG
9876,7,459,Hyoscyamus,Q158510,1HSYG
9877,8,8802,Hiptage,Q5221525,1HTGG
9878,7,8855,Heterocentron,Q5360793,1HTKG
9879,8,8668,Heteranthemis,Q9298209,1HTMG
9880,8,8679,Heteropogon,,1HTOG
9881,8,8802,Heteropterys,Q3282928,1HTSG
9882,8,8668,Heterotheca,Q970748,1HTTG
9883,8,8705,Hypoestes,Q2661527,1HTYG
9884,7,8682,Malmeoideae,Q25931276,1MALS
9885,8,9884,Huberantha,Q26205497,1HUHG
9886,7,8723,Humulus,Q158790,1HUMG
9887,8,8762,Hura,Q3236809,1HURG
9888,7,8765,Hauya,Q10294068,1HUYG
9889,8,8683,Hexalobus,Q5748821,1HXAG
9890,7,8686,Hydrocotyloideae,Q4040859,1HYDS
9891,8,9890,Hydrocotyle,Q158200,1HYDG
9892,7,9595,Hydrilla,,1HYLG
9893,6,8704,Hydroleaceae,,1HYEF
9894,7,9893,Hydrolea,Q134462,1HYMG
9895,7,425,Hedyotis,Q5222029,1HYOG
9896,8,8679,Hyparrhenia,Q311848,1HYRG
9897,8,8655,Hyssopus,,1HYSG
9898,8,8668,Hymenopappus,Q5224972,1HYYG
9899,8,8705,Jacobinia,Q15940749,1IAAG
9900,7,8616,Jacaranda,Q311105,1IACG
9901,7,133,Jacquemontia,Q137671,1IAQG
9902,7,138,Iberis,Q158380,1IBEG
9903,5,8614,Icacinales,Q23937540,1ICAO
9904,6,9903,Icacinaceae,Q133316,1ICAF
9905,7,9904,Icacina,Q9006646,1ICAG
9906,8,8679,Ichnanthus,Q1934164,1ICNG
9907,7,8749,Idesia,Q1284309,1IDEG
9908,8,8687,Oenocarpus,Q141011,1OECG
9909,8,8687,Iguanura,Q144291,1IGUG
9910,8,40,Ichnocarpus,Q3283859,1IKHG
9911,5,8806,Austrobaileyales,Q21788,1AUSO
9912,6,9911,Schisandraceae,Q282324,1SCSF
9913,7,9912,Illicium,Q5492045,1ILLG
9914,8,8679,Imperata,Q2440147,1IMPG
9915,8,8672,Indigofera,Q310648,1INDG
9916,8,8629,Inga,,1INGG
9917,8,8672,Inocarpus,Q2967794,1INOG
9918,8,8668,Inula,Q338207,1INUG
9919,8,8668,Dittrichia,Q2703089,1DTZG
9920,5,8826,Hymenoptera,Q22651,1HYMEO
9921,6,9920,Formicidae,Q7386,1FORMF
9922,7,9921,Linepithema,Q143050,1LINEG
9923,8,8687,Iriartea,Q16060633,1IRTG
9924,6,8630,Irvingiaceae,Q131363,1IRVF
9925,7,9924,Irvingia,Q655403,1IRVG
9926,7,138,Isatis,Q157382,1ISAG
9927,8,8679,Ischaemum,Q1304189,1ISCG
9928,8,8795,Isotoma,,1ISOG
9929,7,459,Juanulloa,Q310604,1IUAG
9930,8,8687,Jubaea,Q13065504,1IUBG
9931,7,152,Peponium,Q291727,1IUMG
9932,7,459,Jaltomata,Q311075,1JALG
9933,7,9275,Jacaratia,Q2213584,1JCAG
9934,7,508,Junellia,Q1713273,1JUEG
9935,8,8777,Kaempferia,Q2699485,1KAEG
9936,8,8668,Carphephorus,Q5045796,1KAHG
9937,7,195,Kalmiopsis,Q24069,1KAIG
9938,7,9123,Kallstroemia,Q2709594,1KALG
9939,7,8686,Kalopanax,,1KAPG
9940,8,8668,Kalimeris,Q1074293,1KASG
9941,7,425,Calycosiphonia,Q5024642,1KAYG
9942,7,459,Calibrachoa,Q141632,1KBCG
9943,8,8665,Cascabela,Q5755891,1KBLG
9944,8,8665,Cerbera,Q1743845,1KBRG
9945,6,8630,Achariaceae,Q651518,1ACHF
9946,7,9945,Caloncoba,Q5642297,1KCBG
9947,8,8672,Cordyla,,1KDLG
9948,7,152,Kedrostis,Q5637564,1KEDG
9949,7,8804,Knema,Q6421947,1KEMG
9950,8,8624,Kerria,,1KERG
9951,7,9945,Kiggelaria,Q9017548,1KGGG
9952,7,8720,Khaya,Q134051,1KHAG
9953,8,8668,Chaenactis,Q2708653,1KHEG
9954,8,8818,Chiranthodendron,Q5766708,1KHIG
9955,8,8641,Chelyocarpus,Q142264,1KHKG
9956,7,379,Kickxia,Q161474,1KICG
9957,7,8616,Kigelia,Q3009148,1KIGG
9958,6,8736,Dasypogonaceae,Q133221,1DASF
9959,7,9958,Calectasia,Q3284380,1KLBG
9960,8,8668,Leucophyta,Q16089820,1LHYG
9961,7,8769,California,Q16047894,1KLFG
9962,8,8629,Colvillea,Q5150303,1KLVG
9963,8,8848,Knautia,Q149310,1KNAG
9964,8,8772,Knightia,Q9017763,1KNGG
9965,8,8958,Kniphofia,Q157905,1KNIG
9966,8,8629,Cenostigma,Q602490,1KNSG
9967,7,9100,Cariniana,Q2709975,1KNXG
9968,8,8729,Kohleria,Q2585772,1KOHG
9969,8,8647,Koeleria,Q162860,1KOLG
9970,7,9100,Couroupita,Q159309,1KOOG
9971,8,8687,Carpentaria,Q16060590,1KPAG
9972,7,9199,Couepia,Q2714088,1KPIG
9973,8,8679,Sporobolus,Q2603825,1SPZG
9974,8,8672,Calpurnia,Q5023946,1KQIG
9975,6,9122,Krameriaceae,,1KRAF
9976,7,9975,Krameria,Q290473,1KRAG
9977,7,8939,Crinodendron,Q2891041,1KRDG
9978,8,8668,Krigia,Q6437019,1KRIG
9979,7,9005,Carallia,Q1035364,1KRLG
9980,8,8668,Pycnosorus,Q11701425,1QYCG
9981,7,8720,Chukrasia,Q4455675,1KRZG
9982,7,82,Consolea,Q150122,1KSLG
9983,8,9866,Chaerospondias,,1KSQG
9984,7,8616,Crescentia,Q1321860,1KTQG
9985,8,8668,Kuhnia,Q5032625,1KUHG
9986,7,425,Cordiera,,1KWAG
9987,8,8844,Cleistanthus,Q5131114,1KWZG
9988,7,429,Clymenia,Q5137103,1KYEG
9989,8,8742,Kyllinga,Q4677195,1KYLG
9990,7,82,Cylindropuntia,Q137197,1KYOG
9991,8,8778,Cyrtanthus,Q310372,1KYRG
9992,8,8727,Cloezia,Q2979539,1KZIG
9993,8,8672,Laburnum,Q147184,1LABG
9994,8,8668,Lactuca,Q578052,1LACG
9995,8,8665,Landolphia,Q2715319,1LADG
9996,8,8668,Lagascea,Q6471933,1LAGG
9997,8,9866,Lannea,Q5221994,1LAKG
9998,8,267,Lamium,Q146675,1LAMG
9999,7,8829,Laportea,Q139118,1LAOG
10000,8,8668,Lapsana,Q23016035,1LAPG
10001,8,8668,Layia,Q8273258,1LAQG
10002,7,9123,Larrea,Q2521134,1LARG
10003,8,8647,Lagurus,,1LASG
10004,7,425,Lasianthus,Q3238493,1LAUG
10005,8,8655,Lavandula,Q171892,1LAVG
10006,7,8790,Lawsonia,,1LAWG
10007,8,8786,Libertia,Q2700376,1LBEG
10008,8,8627,Lebronnecia,,1LBNG
10009,8,8631,Lasiococca,Q9298658,1LCCG
10010,8,8641,Licuala,Q281747,1LCLG
10011,7,9199,Licania,Q135759,1LCNG
10012,7,9199,Moquilea,Q56055227,1MQUG
10013,7,444,Leucophyllum,Q2702896,1LCPG
10014,7,8792,Licaria,Q5226729,1LCRG
10015,7,8771,Proteoideae,Q2081926,1PROS
10016,8,10015,Leucospermum,Q2667479,1LCSG
10017,7,8749,Ludia,,1LDJG
10018,8,8668,Leontodon,Q27909,1LEBG
10019,8,267,Leonurus,Q157982,1LECG
10020,7,515,Leeoideae,Q20973193,1LEES
10021,8,10020,Leea,Q2669468,1LEEG
10022,8,8679,Leptochloa,Q3310384,1LEFG
10023,8,8727,Kunzea,Q137438,1KUNG
10024,8,8727,Aggreflorum,Q126279402,1VGGG
10025,8,8727,Leptospermum,Q135621,1LEKG
10026,7,43,Lemnoideae,Q161429,1LEMS
10027,8,10026,Lemna,Q161207,1LEMG
10028,8,8672,Lens,,1LENG
10029,2,9413,Basidiomycota,Q174698,1BASIP
10030,3,10029,Agaricomycotina,Q584822,1BASIC
10031,4,10030,Agaricomycetes,Q27720,1AGARL
10032,5,10031,Agaricales,Q221448,1AGARO
10033,6,10032,Marasmiaceae,Q544997,1MARAF
10034,7,10033,Lentinula,Q1303903,1LNLAG
10035,8,267,Leonotis,Q952840,1LEOG
10036,8,10015,Leucadendron,Q159466,1LEQG
10037,8,8809,Leersia,Q158961,1LERG
10038,8,8672,Lespedeza,Q1017395,1LESG
10039,8,8672,Kummerowia,Q3232390,1KUMG
10040,7,138,Lesquerella,,1LEUG
10041,8,267,Leucas,Q5643307,1LEVG
10042,7,501,Levisticum,Q2701345,1LEWG
10043,8,8668,Laggera,Q5219705,1LGGG
10044,7,8735,Laguncularia,Q2705317,1LGKG
10045,8,8668,Farfugium,Q5222986,1FRFG
10046,7,152,Lagenaria,Q1995080,1LGNG
10047,8,8672,Retama,Q2699268,1RTAG
10048,8,8627,Lagunaria,Q15814158,1LGRG
10049,7,501,Ligusticum,Q3239002,1LGTG
10050,7,8745,Lithocarpus,Q132402,1LIAG
10051,7,8745,Notholithocarpus,Q17410244,1NLKG
10052,6,154,Austrocedrus,Q1072934,1AUDG
10053,6,8615,Linderniaceae,Q648186,1LDRF
10054,7,10053,Bonnaya,Q17751723,1BNNG
10055,7,10053,Lindernia,Q2918981,1LIDG
10056,7,9231,Limonium,Q157375,1LIIG
10057,7,9231,Goniolimon,Q6658465,1GOLG
10058,7,9595,Limnobium,Q643368,1LIMG
10059,7,379,Nuttallanthus,Q7070570,1NUTG
10060,7,379,Linaria,,1LING
10061,7,508,Phyla,Q3263703,1PHWG
10062,7,508,Lippia,Q10514128,1LIPG
10063,7,8799,Liriodendron,Q157236,1LIRG
10064,7,8792,Litsea,Q2261537,1LISG
10065,7,8822,Buglossoides,Q622782,1BUOG
10066,8,8641,Saribus,Q7424061,1SBSG
10067,8,8727,Lithomyrtus,Q9023017,1LJMG
10068,7,9405,Lisianthius,Q941822,1LJSG
10069,7,459,Leucophysalis,Q147051,1LKPG
10070,8,8772,Lambertia,Q2712665,1LMBG
10071,8,8711,Lampranthus,Q159047,1LMPG
10072,8,8772,Lomatia,,1LMTG
10073,8,8668,Launaea,Q3272962,1LNEG
10074,7,8720,Lansium,Q11983219,1LNIG
10075,8,8668,Leontopodium,Q1483297,1LNPG
10076,6,8931,Loranthaceae,Q156691,1LORF
10077,7,10076,Loranthus,Q163517,1LOAG
10078,8,8672,Lonchocarpus,Q1756340,1LOOG
10079,7,8773,Loropetalum,Q5604746,1LORG
10080,8,8672,Lotus,,1LOTG
10081,7,138,Lobularia,,1LOUG
10082,8,8727,Lophomyrtus,Q5225171,1LOYG
10083,8,8672,Leptolobium,Q6528166,1LPKG
10084,7,8822,Lappula,Q2641622,1LPLG
10085,8,8668,Leptinella,Q6527945,1LQTG
10086,8,8788,Lepisanthes,Q3310838,1LQZG
10087,8,8703,Liriope,,1LRIG
10088,7,8744,Lamourouxia,,1LRXG
10089,8,8727,Lophostemon,Q2706665,1LSMG
10090,7,133,Lepistemon,Q9021689,1LSOG
10091,8,8641,Latania,Q141248,1LTAG
10092,7,425,Leptactina,Q3595356,1LTCG
10093,8,8668,Lasthenia,Q614059,1LTEG
10094,8,8778,Leptochiton,,1LTIG
10095,8,8668,Liatris,Q1580155,1LTSG
10096,8,8789,Lettowianthus,Q5225092,1LTWG
10097,8,8629,Acaciella,Q611230,1ZLZG
10098,8,8629,Leucaena,Q311423,1LUAG
10099,7,8765,Ludwigia,Q158391,1LUDG
10100,8,8672,Luetzelburgia,Q5220217,1LUEG
10101,7,152,Luffa,Q232909,1LUFG
10102,8,8727,Luma,,1LUMG
10103,7,138,Lunaria,,1LUNG
10104,7,195,Leucothoe,,1LUTG
