Category,Disease,Pathogen,Afflict,Full plant name
BACTERIAL DISEASES,Bacterial leaf spot,Pseudomonas cichorii(Swingle 1925) Stapp 1928,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
BACTERIAL DISEASES,Southern wilt,"Ralstonia solanacearum(Smith 1896) Yabuuchi et al. 1996,comb. nov.=Pseudomonas solanacearum(Smith 1896) Smith 1914",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Ascochyta leaf spot,Ascochyta doroniciAllesch.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Alternaria leaf spot,"Alternaria alternata(Fr.:Fr.) Keissl.
A. dauci(Kühn) Groves & Skolko
A. gerberaeRabbe et al.",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Black root rot,"Thielaviopsis basicola(Berk. & Broome) Ferraris
Chalara elegansNag Raj & Kendr. [synanamorph]",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Botrytis blight,Botrytis cinereaPers.:Fr.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Cercospora leaf spot,Cercospora gerberaeChupp & Viegas,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Downy mildew,Plasmoparasp.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Fusarium crown rot,Fusarium solani(Mart.) Sacc.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Fusarium root rot,Fusarium oxysporumSchlechtend.:Fr.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Fusarium wilt,Fusarium oxysporumSchlechtend.:Fr.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Nectria canker,Nectria haematococcaBerk. & Broome,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Phyllosticta leaf spot,Phyllostictasp.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Phytophthora crown and root rot,"Phytophthora cryptogeaPethybr. & Lafferty
PhytophthoraparasiticaDastur",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Powdery mildew,"Erysiphe cichoracearumDC
Sphaerothecasp.",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Pythium root rot,Pythiumspp.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Rhizoctonia root and crown rot,Rhizoctonia solaniKühn,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Rhizopus blight,Rhizopus stolonifer(Ehrenb.:Fr.) Vuill.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Sclerotinia blight,Sclerotinia sclerotiorum(Lib.) deBary,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Septoria leaf spot,Septoriasp.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Southern blight,Sclerotium rolfsiiSacc.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Verticillium wilt,Verticillium albo-atrumReinke & Berthier,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Web blight,Rhizoctonia solaniKühn,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,White rust,Albugo tragopogonis(Pers.) S.F. Gray,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
"NEMATODES, PARASITIC",Foliar nematode,Aphelenchoides fragariae(Ritzema Bos) Christie,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
"NEMATODES, PARASITIC",Root knot nematodes,"Meloidogyne arenaria(Neal) Chitwood
M. haplaChitwood
M. incognita(Kofoid & White) Chitwood
M. javanica(Treub) Chitwood",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
"NEMATODES, PARASITIC",Sting nematode,Belonolaimus longicaudatusRau,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
"NEMATODES, PARASITIC",Stubby root nematode,Paratrichodorus minor(Colbran) Siddiqi,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
VIRUS AND VIROID DISEASES,Cucumber mosaic,"genusCucumovirus,Cucumber mosac virus(CMV)",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
VIRUS AND VIROID DISEASES,Impatiens necrotic spot,"genusTospovirus,Impatiens necrotic spot virus(INSV)",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
VIRUS AND VIROID DISEASES,Spotted wilt,"genusTospovirus,Tomato spotted wilt virus(TSWV)",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
VIRUS AND VIROID DISEASES,Tobacco mosaic,"genusTobamovirus,Tobacco mosaic virus(TMV)",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
VIRUS AND VIROID DISEASES,Tobacco ring spot,"genusTobravirus,Tobacco rattle virus(TRV)",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
PHYTOPLASMAL DISEASES,Yellows,Phytoplasma,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
PHYTOPLASMAL DISEASES,Yellows,Phytoplasma,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
BACTERIAL DISEASES,Bacterial blight,"ErwiniachrysanthemiBurkholder, McFadden & Dimock",African Violet,African Violet ( Saintpaulia ionantha Wendl.)
BACTERIAL DISEASES,Crown gall,Agrobacteriumtumefaciens(Smith & Townsend) Conn,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
FUNGAL DISEASES,Crown rot,SclerotiumrolfsiiSacc.,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
FUNGAL DISEASES,Cylindrocarpon root rot,Cylindrocarpondestructans(Zinssmeister) Scholten,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
FUNGAL DISEASES,Fusarium root rot,Fusarium solani(Mart.) Sacc.,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
FUNGAL DISEASES,Gray mold,Botrytis cinereaPers. ex Fr.,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
FUNGAL DISEASES,Leaf spot,"Alternariasp. Nees, nom. cons.
Corynespora cassiicola(Berk. & M. A. Curtis) C. T. Wei",African Violet,African Violet ( Saintpaulia ionantha Wendl.)
FUNGAL DISEASES,Phytophthora root and crown rot,"Phytophthora nicotianaeBreda de Haan var.parasitica(Dast.) Waterh.
Phytophthora nicotianaeDastur var.nicotianae(Breda deHaan) Tucker
Phytophthora cryptogeaPeth. & Laff.",African Violet,African Violet ( Saintpaulia ionantha Wendl.)
FUNGAL DISEASES,Powdery mildew,"Oidiumsp. Link, nom. cons.",African Violet,African Violet ( Saintpaulia ionantha Wendl.)
FUNGAL DISEASES,Pythium root rot,"Pythiumsp. Pringsh., nom. cons.",African Violet,African Violet ( Saintpaulia ionantha Wendl.)
FUNGAL DISEASES,Rhizoctonia root and crown rot,Rhizoctoniasp. D.C.,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
VIRUS DISEASES,Leaf etch,Impatiens necrotic spot virus,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
VIRUS DISEASES,Mosaic,Anemone mosaic virus,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
"NEMATODES, PARASITIC",Foliar nematode,"Aphelenchoidesfragariae(Ritzema Bos) Christie
Aphelenchoidesritzemabosi(Schwartz) Steiner & Buhrer",African Violet,African Violet ( Saintpaulia ionantha Wendl.)
"NEMATODES, PARASITIC",Nematodes,"Criconemasp. Hofmänner & Menzel
Helicotylenchussp. Steiner
Pratylenchus pratensisFilipjev
Paratylenchus projectusMicoletzky
Rotylenchus brachyurusFilipjev
Scutellonema brachyurumAndrassy
Tylenchorynchussp. Cobb",African Violet,African Violet ( Saintpaulia ionantha Wendl.)
"NEMATODES, PARASITIC",Root knot,"Meloidogyne arenaria(Neal) Chitwood
Meloidogyne haplaChitwood
Meloidogyne javanica(Treub) Chitwood
Meloidogyne incognita(Kofoid & White) Chitwood",African Violet,African Violet ( Saintpaulia ionantha Wendl.)
MISCELLANEOUS DISEASES AND DISORDERS,Marginal leaf burn,Overfertilization,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
MISCELLANEOUS DISEASES AND DISORDERS,Ring spot,Irrigation water temperature much above or below leaf temperature applied to the leaf surface,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
MISCELLANEOUS DISEASES AND DISORDERS,Ring spot,Irrigation water temperature much above or below leaf temperature applied to the leaf surface,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
BACTERIA AND PHYTOPLASMAS,Alfalfa witches’-broom,"‘CandidatusPhytoplasma asteris’
‘CandidatusPhytoplasma aurantifolia’
‘CandidatusPhytoplasma fraxini’",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
BACTERIA AND PHYTOPLASMAS,Australian lucerne yellows,"‘CandidatusPhytoplasma aurantifolia’
‘CandidatusPhytoplasma australiense’",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
BACTERIA AND PHYTOPLASMAS,Bacterial leaf spot,Xanthomonas alfalfaesubsp.alfalfae(ex Riker et al. 1935) Schaad et al. 2007(syn.Xanthomonas campestrispv.alfalfae(Riker et al.) Dye),Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
BACTERIA AND PHYTOPLASMAS,Bacterial stem blight,Pseudomonas syringaepv.syringaevan Hall,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
BACTERIA AND PHYTOPLASMAS,Bacterial wilt,Clavibacter michiganensissubsp.insidiosus(McCulloch) Davis et al.(syn.Clavibacter michiganensesubsp.insidiosum(McCull.) Davis et al.),Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
BACTERIA AND PHYTOPLASMAS,Crown gall,Agrobacterium tumefaciens(Smith & Townsend) Conn,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
BACTERIA AND PHYTOPLASMAS,Dwarf,Xylella fastidiosasubsp.fastidiosaWells et al. 1987,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
BACTERIA AND PHYTOPLASMAS,Sprout rot,"Dickeyaspecies(syn.Erwinia chrysanthemiBurkholder et al. 1953)(syn.Erwinia herbicola(Löhnis 1911) Dye 1964)
Pantoea agglomerans(Ewing and Fife 1972) Gavini et al. 1989",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Acrocalymma root and crown rot,"Acrocalymma medicaginisAlcorn & J. A. G. Irwin
Massarina walkeriShoemaker, C. E. Babc. & J. A. G. Irwin",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Anthracnose,"Colletotrichum trifoliiBain
Colletotrichum destructivumO’Gara(syn.Colletotrichum dematiumf. sp.truncatum(Schwein.) Arx)
Colletotrichum gloeosporioides(Penz.) Penz. & Sacc.
Colletotrichum truncatum(Schwein.) Andrus & W. D. Moore",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Blackpatch,Rhizoctonia leguminicolaGough & E. S. Elliott,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Blossom blight (crown rot and stem rot),"Botrytis cinereaPers.:Fr
Sclerotinia sclerotiorum(Lib.) de Bary",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Brown root rot,Phoma sclerotioidesPreuss ex Sacc.(syn.Plenodomus melilotiDearn. & Sanford),Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Charcoal rot,Macrophomina phaseolina(Tassi) Goid.,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Common leaf spot,Pseudopeziza medicaginis(Lib.) Sacc.,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Corky root rot,Xylariasp.,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Crown and root rot complex,"Fusarium oxysporumSchltdl.
Fusarium solani(Mart.) Sacc.",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Crown wart,Physoderma alfalfae(Pat. & Lagerh.) Karling,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Cylindrocarpon root rot,"Cylindrocarpon obtusiusculum(Sacc.) U. Braun(syn.Cylindrocarpon ehrenbergiiWollenw.)
Nectria ramulariae(Wollenw.) E. Müll",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Cylindrocladium root and crown rot,"Calonectria crotalariae(Loos) D. K. Bell & Sobers
Calonectria ilicicolaBoedijn & Reitsma
Calonectria kyotensisTerash.
Cylindrocladium clavatumHodges & L. C. May
Cylindrocladium parasiticumCrous, M. J. Wingf. & Alfenas
Cylindrocladium scopariumMorgan",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Fusarium blight,Fusarium semitectumBerk. & Ravenel,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Fusarium wilt,Fusarium oxysporumf. sp.medicaginis(Weimer) W. C. Snyder & H. N. Hansen,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Lepto leaf spot,Leptosphaerulina briosiana(Pollacci) J. H. Graham & Luttr.,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Mycoleptodiscus crown and root rot,Mycoleptodiscus terrestris(Gerd.) Ostaz.(syn.Leptodiscus terrestrisGerd.),Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Phymatotrichopsis root rot,Phymatotrichopsis omnivora(Duggar) Hennebert(syn.Phymatotrichum omnivorum(Shear) Duggar),Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Powdery mildew,"Erysiphe pisiD. C.
Leveillula taurica(Lév.) Arn.",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,"Rhizoctonia damping off (root canker, crown and bud rot, stem canker, and foliage blight)","Rhizoctonia solani. G. Kühn
Thanatephorus cucumeris(A. B. Frank) Donk",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Rhizopus sprout rot,Rhizopus stolonifer(Ehrenb.) Vuill,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Rust,Uromyces striatusJ. Schröt.,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Sclerotinia crown and stem rot,"Sclerotinia trifoliorumErikss.sensuKohn
Sclerotinia sclerotiorum(Lib.) de Bary",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Southern Sclerotium blight,"Athelia rolfsii(Curzi) C. C. Tu & Kimbr.
Sclerotium rolfsiiSacc.",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Spring black stem and leaf spot,Phoma medicaginisMalbr. & Roum.,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Stagonospora leaf spot and root rot,"Leptosphaeria weimeriShoemaker, C. E. Babc. & J. A. G. Irwin(syn.Leptosphaeria pratensisSacc. & Briard)
Stagonospora meliloti(Lasch) Petr.",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Stemphylium leaf spot,"Stemphylium botryosumWallr.
Stemphylium vesicarium(Wallr.) E. Simmons",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Summer black stem and leaf spot,Cercospora medicaginisEllis & Everh.,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Verticillium wilt,"Verticillium alfalfaeInderb., H. W. Platt, R. M. Bostock, R. M. Davis & K. V. Subbarao(syn.Verticillium albo­atrumReinke & Berthold)",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Violet root rot,Helicobasidium brebissonii(Desm.) Donk(syn. Rhizoctonia crocorum (Pers.) DC.),Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Winter crown rot,Coprinus psychromorbidusRedhead & Traquair,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
FUNGI,Yellow leaf blotch,"Leptotrochila medicaginis(Fuckel) Schüepp
Sporonema phacidioidesDesm.",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Alfalfa cyst nematode,Heterodera medicaginisKirjanova & Krall,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Barley root-knot nematode,Meloidogyne naasiFranklin,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),British root-knot nematode,Meloidogyne artielliaFranklin,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Chrysanthemum foliar nematode,Aphelenchoides ritzemabosi(Schwarz) Steiner & Buhrer,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Clover cyst nematode,Heterodera trifoliiGoffart,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Columbia root-knot nematode,"Meloidogyne chitwoodiGolden, O’Bannon, Santo & Finley",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Dagger nematode,Xiphinema americanum Cobb,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),False Columbia root-knot nematode,Meloidogyne fallaxKarssen,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Javanese root-knot nematode,Meloidogyne javanica(Treub) Chitwood,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Lance nematode,Hoplolaimussp.,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Needle nematode,Longidorus africanusMerny,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Northern root-knot nematode,Meloidogyne haplaChitwood,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Peanut root-knot nematode,Meloidogyne arenaria(Neal) Chitwood,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Pin nematode,Paratylenchussp.,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Ring nematode,"Criconemellasp.
Hemicriconemoidessp.",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Root-lesion nematode,"Pratylenchus coffeae(Zimmermann) Filipjev & Schuurmans Stekhoven
Pratylenchus crenatusLoof
Pratylenchus lentisTrocolli, DeLuca, Handoo & Di Vito
Pratylenchus neglectus(Rensch) Filipjev & Schuurmans Stekhoven
Pratylenchus penetrans(Cobb) Filipjev & Schuurmans Stekhoven
Pratylenchus pratensis (de Man) Filipjev
Pratylenchus thorneiSher & Allen
Pratylenchus vulnusAllen & Jensen",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Southern root-knot nematode,Meloidogyne incognita(Kofoid & White) Chitwood,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Spiral nematode,"Helicotylenchusspp.
Rotylenchussp.",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Stem nematode,Ditylenchus dipsaci(Kühn) Filipjev,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Stubby-root nematode,"Paratrichodorussp.
Trichodorussp.",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
NEMATODES (PARASITIC),Stunt nematode,"Merliniussp.
Telotylenchussp.
Tylenchorhynchussp.",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
OOMYCETES,Aphanomyces root rot,Aphanomyces euteichesDrechsler,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
OOMYCETES,Downy mildew,"Peronospora trifoliorumde Bary
Peronospora viciae(Berk.) Casp.",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
OOMYCETES,Phytophthora root rot,Phytophthora medicaginisE. M. Hansen & D. P. Maxwell(syn.Phytophthora megaspermaDrechsler f. sp.medicaginisT. L. Kuan & Erwin),Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
OOMYCETES,Pythium seed and root rot,"Pythium acanthicumDrechsler
Pythium aphanidermatum(Edson) Fitzp.
Pythium debaryanumR. Hesse
Pythium dissotocumDrechsler
Pythium irregulareBuisman
Pythium myriotylumDrechsler
Pythium paroecandrumDrechsler
Pythium pulchrumMinden
Pythium rostratumE. J. Butler
Pythium splendensHans Braun
Pythium sylvaticumW. A. Campb. & F. F. Hendrix
Pythium torulosumCoker & P. Patt.
Pythium ultimumTrow
Pythium vexansde Bary
Pythium violaeChesters & Hickman",Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
PARASITIC FLOWERING PLANTS,Field dodder,Cuscuta pentagonaEngelm.,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
PARASITIC FLOWERING PLANTS,Large-seed dodder,Cuscuta indecoraChoisy,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
PARASITIC FLOWERING PLANTS,Small-seed dodder,Cuscuta approximataBab.,Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
VIRUSES,Alfalfa enation,Alfalfa enation virus (AEV),Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
VIRUSES,Alfalfa mosaic,Alfalfa mosaic virus(AMV),Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
VIRUSES,Bean leafroll,Bean leafroll virus(BLRV),Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
VIRUSES,Lucerne transient streak,Lucerne transient streak virus(LTSV),Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
VIRUSES,Pea streak,Pea streak virus(PeSV) ),Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
VIRUSES,Red clover vein mosaic,Red clover vein mosaic virus(RCVMV),Alfalfa,DisplayTitle ​Diseases of Alfalfa ( Medicago sativa L.)
VIRUSES,Red clover vein mosaic,Red clover vein mosaic virus(RCVMV),Almond,Almond ( Prunus dulcis (Mill.) Webb)
BACTERIAL DISEASES,Almond leaf scorch,"Xylella fastidiosaWells, Raju, Hung, Weisberg, Mandelco-Paul & Brenner 1995",Almond,Almond ( Prunus dulcis (Mill.) Webb)
BACTERIAL DISEASES,Bacterial canker,Pseudomonas syringaepv.syringaevan Hall 1902,Almond,Almond ( Prunus dulcis (Mill.) Webb)
BACTERIAL DISEASES,Bacterial hyperplastic canker,Pseudomonas amygdaliPsallidas and Panagopoulos 1975,Almond,Almond ( Prunus dulcis (Mill.) Webb)
BACTERIAL DISEASES,Bacterial spot,Xanthomonas campestrispv.pruni(Smith 1903) Dye 1978,Almond,Almond ( Prunus dulcis (Mill.) Webb)
BACTERIAL DISEASES,Crown gall,Agrobacterium tumefaciens(Smith and Townsend 1907) Conn 1942,Almond,Almond ( Prunus dulcis (Mill.) Webb)
BACTERIAL DISEASES,Kernel decay,"Aspergillus nigerTiegh.
A. flavusLink:Fr.
A. parasiticusSpeare",Almond,Almond ( Prunus dulcis (Mill.) Webb)
FUNGAL DISEASES,Alternaria leaf spot,Alternaria alternata(Fr.:Fr.) Keissl.,Almond,Almond ( Prunus dulcis (Mill.) Webb)
FUNGAL DISEASES,Anthracnose,Colletotrichum acutatumJ. H. Simmonds,Almond,Almond ( Prunus dulcis (Mill.) Webb)
FUNGAL DISEASES,Armillaria root rot,"Armillaria mellea(Vahl:Fr.) Kumm.
Rhizomorpha subcorticalisPers. [anamorph]",Almond,Almond ( Prunus dulcis (Mill.) Webb)
FUNGAL DISEASES,Band canker = Dothiorella canker,"Botryosphaeria dothidea(Moug.:Fr.) Ces. & De Not.
Dothiorellasp. [anamorph]",Almond,Almond ( Prunus dulcis (Mill.) Webb)
FUNGAL DISEASES,Brown rot,"Monilinia fructicola(G. Wint.) Honey
M. laxa(Aderh. & Ruhl.) Honey
Moniliasp. [anamorph]",Almond,Almond ( Prunus dulcis (Mill.) Webb)
FUNGAL DISEASES,Ceratocystis canker,Ceratocystis fimbriataEllis & Halst.,Almond,Almond ( Prunus dulcis (Mill.) Webb)
FUNGAL DISEASES,Green fruit rot,"Botrytis cinereaPers.:Fr.
Botryotinia fuckeliana(de Bary) Whetzel [teleomorph]
Monilinia fructicola(G. Wint.) Honey
M. laxa(Aderh. & Ruhl.) Honey
Moniliasp. [anamorph]
Sclerotinia sclerotiorum(Lib.) de Bary",Almond,Almond ( Prunus dulcis (Mill.) Webb)
FUNGAL DISEASES,Hull rot,"Monilinia fructicola(G. Wint.) Honey
M. laxa(Aderhold & Ruhland) Honey
Rhizopus arrhizusA. Fischer
R. circinanaTeigh.
R. stolonifer(Ehrenb.:Fr.) Vuill.",Almond,Almond ( Prunus dulcis (Mill.) Webb)
FUNGAL DISEASES,Leaf blight,"Discostroma corticola(Fuckel) I. Brockmann)
Seimatosporium lichenicola(Corda) Shoemaker &E. Müller [anamorph]",Almond,Almond ( Prunus dulcis (Mill.) Webb)
FUNGAL DISEASES,Leaf curl,Taphrina deformans(Berk) Tulasne,Almond,Almond ( Prunus dulcis (Mill.) Webb)
FUNGAL DISEASES,Leucostoma canker,"Leucostoma cincta(Fr.:Fr.) Höhn.
Leucocytospora cincta(Sacc.) Höhn [anamorph]
Leucostoma persooniiHöhn
Leucocytospora leucostoma(Pers.) Höhn [anamorph]",Almond,Almond ( Prunus dulcis (Mill.) Webb)
